x,y,stress_y
1.5,0.0,9.4451
1.5714285714285714,0.0,5.040671428571434
1.6428571428571428,0.0,3.018928571428572
1.7142857142857142,0.0,2.608257142857143
1.7857142857142856,0.0,2.2884714285714294
1.8571428571428572,0.0,2.085857142857143
1.9285714285714286,0.0,1.9330571428571428
2.0,0.0,1.8111
2.071428571428571,0.0,1.722
2.142857142857143,0.0,1.6453428571428572
2.2142857142857144,0.0,1.5796571428571429
2.2857142857142856,0.0,1.5250142857142859
2.357142857142857,0.0,1.4781142857142857
2.4285714285714284,0.0,1.436057142857143
2.5,0.0,1.3982
2.571428571428571,0.0,1.3656285714285714
2.642857142857143,0.0,1.3353714285714287
2.7142857142857144,0.0,1.3073857142857142
2.7857142857142856,0.0,1.2818142857142858
2.8571428571428568,0.0,1.2581857142857145
2.9285714285714284,0.0,1.2357285714285715
3.0,0.0,1.2144
3.071428571428571,0.0,1.1944428571428571
3.142857142857143,0.0,1.1751857142857143
3.2142857142857144,0.0,1.1564999999999999
3.2857142857142856,0.0,1.1385
3.3571428571428568,0.0,1.121057142857143
3.4285714285714284,0.0,1.1038000000000001
3.5,0.0,1.0868
3.571428571428571,0.0,1.0700857142857143
3.642857142857143,0.0,1.0533714285714286
3.714285714285714,0.0,1.036657142857143
3.7857142857142856,0.0,1.019942857142857
3.857142857142857,0.0,1.002997142857143
3.9285714285714284,0.0,0.9858371428571429
4.0,0.0,0.96849
4.071428571428571,0.0,0.9506228571428572
4.142857142857142,0.0,0.9323457142857146
4.2142857142857135,0.0,0.9136328571428574
4.285714285714286,0.0,0.89424
4.357142857142857,0.0,0.8740271428571429
4.428571428571429,0.0,0.8531014285714287
4.5,0.0,0.83143
4.571428571428571,0.0,0.808272857142857
4.642857142857142,0.0,0.7840700000000003
4.7142857142857135,0.0,0.7587457142857147
4.785714285714286,0.0,0.7317814285714286
4.857142857142857,0.0,0.7028714285714287
4.928571428571429,0.0,0.6723085714285715
5.0,0.0,0.63998
